Name,Function_formula,Function,Level_1,Level_2_1,Level_2_2,Level_2_3,Level_2_4
B&M Val,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val % Mkt Shr,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Comp,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Comp Contrib %,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Contrib %,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Mkt,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Mkt Contrib %,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val PI,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Prod,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
B&M Val Prod Contrib %,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val % Mkt Shr,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val Comp,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val Comp Contrib %,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val Contrib %,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val Mkt,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val Mkt Contrib %,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val PI,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val Prod,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Baseline Val Prod Contrib %,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Amount Metrics,Current Period,Current Period (Amount)
Domestic Val,Domestic,Domestic,Domestic / Export,Domestic,Amount Metrics,Current Period,Current Period (Amount)
Domestic Val % Mkt Shr,Domestic,Domestic,Domestic / Export,Domestic,Amount Metrics,Current Period,Current Period (Amount)
Domestic Val Comp,Domestic,Domestic,Domestic / Export,Domestic,Amount Metrics,Current Period,Current Period (Amount)
Domestic Val Comp Contrib %,Domestic,Domestic,Domestic / Export,Domestic,Amount Metrics,Current Period,Current Period (Amount)
Domestic Val Contrib %,Domestic,Domestic,Domestic / Export,Domestic,Amount Metrics,Current Period,Current Period (Amount)
Domestic Val Mkt,Domestic,Domestic,Domestic / Export,Domestic,Amount Metrics,Current Period,Current Period (Amount)
Domestic Val Mkt Contrib %,Domestic,Domestic,Domestic / Export,Domestic,Amount Metrics,Current Period,Current Period (Amount)
Domestic Val PI,Domestic,Domestic,Domestic / Export,Domestic,Amount Metrics,Current Period,Current Period (Amount)
Domestic Val Prod,Domestic,Domestic,Domestic / Export,Domestic,Amount Metrics,Current Period,Current Period (Amount)
Domestic Val Prod Contrib %,Domestic,Domestic,Domestic / Export,Domestic,Amount Metrics,Current Period,Current Period (Amount)
Export Val,Export,Export,Domestic / Export,Export,Amount Metrics,Current Period,Current Period (Amount)
Export Val % Mkt Shr,Export,Export,Domestic / Export,Export,Amount Metrics,Current Period,Current Period (Amount)
Export Val Comp,Export,Export,Domestic / Export,Export,Amount Metrics,Current Period,Current Period (Amount)
Export Val Comp Contrib %,Export,Export,Domestic / Export,Export,Amount Metrics,Current Period,Current Period (Amount)
Export Val Contrib %,Export,Export,Domestic / Export,Export,Amount Metrics,Current Period,Current Period (Amount)
Export Val Mkt,Export,Export,Domestic / Export,Export,Amount Metrics,Current Period,Current Period (Amount)
Export Val Mkt Contrib %,Export,Export,Domestic / Export,Export,Amount Metrics,Current Period,Current Period (Amount)
Export Val PI,Export,Export,Domestic / Export,Export,Amount Metrics,Current Period,Current Period (Amount)
Export Val Prod,Export,Export,Domestic / Export,Export,Amount Metrics,Current Period,Current Period (Amount)
Export Val Prod Contrib %,Export,Export,Domestic / Export,Export,Amount Metrics,Current Period,Current Period (Amount)
Grocery Val,Grocery,Grocery,Retail / Grocery,Grocery,Amount Metrics,Current Period,Current Period (Amount)
Grocery Val % Mkt Shr,Grocery,Grocery,Retail / Grocery,Grocery,Amount Metrics,Current Period,Current Period (Amount)
Grocery Val Comp,Grocery,Grocery,Retail / Grocery,Grocery,Amount Metrics,Current Period,Current Period (Amount)
Grocery Val Comp Contrib %,Grocery,Grocery,Retail / Grocery,Grocery,Amount Metrics,Current Period,Current Period (Amount)
Grocery Val Contrib %,Grocery,Grocery,Retail / Grocery,Grocery,Amount Metrics,Current Period,Current Period (Amount)
Grocery Val Mkt,Grocery,Grocery,Retail / Grocery,Grocery,Amount Metrics,Current Period,Current Period (Amount)
Grocery Val Mkt Contrib %,Grocery,Grocery,Retail / Grocery,Grocery,Amount Metrics,Current Period,Current Period (Amount)
Grocery Val PI,Grocery,Grocery,Retail / Grocery,Grocery,Amount Metrics,Current Period,Current Period (Amount)
Grocery Val Prod,Grocery,Grocery,Retail / Grocery,Grocery,Amount Metrics,Current Period,Current Period (Amount)
Grocery Val Prod Contrib %,Grocery,Grocery,Retail / Grocery,Grocery,Amount Metrics,Current Period,Current Period (Amount)
Incremental Val,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Amount Metrics,Current Period,Current Period (Amount)
Incremental Val % Mkt Shr,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Amount Metrics,Current Period,Current Period (Amount)
Incremental Val Comp,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Amount Metrics,Current Period,Current Period (Amount)
Incremental Val Comp Contrib %,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Amount Metrics,Current Period,Current Period (Amount)
Incremental Val Contrib %,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Amount Metrics,Current Period,Current Period (Amount)
Incremental Val Mkt,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Amount Metrics,Current Period,Current Period (Amount)
Incremental Val Mkt Contrib %,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Amount Metrics,Current Period,Current Period (Amount)
Incremental Val PI,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Amount Metrics,Current Period,Current Period (Amount)
Incremental Val Prod,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Amount Metrics,Current Period,Current Period (Amount)
Incremental Val Prod Contrib %,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Amount Metrics,Current Period,Current Period (Amount)
Lost Val,Lost,Lost,Baseline /Incremental / Lost,Lost,Amount Metrics,Current Period,Current Period (Amount)
Lost Val % Mkt Shr,Lost,Lost,Baseline /Incremental / Lost,Lost,Amount Metrics,Current Period,Current Period (Amount)
Lost Val Comp,Lost,Lost,Baseline /Incremental / Lost,Lost,Amount Metrics,Current Period,Current Period (Amount)
Lost Val Comp Contrib %,Lost,Lost,Baseline /Incremental / Lost,Lost,Amount Metrics,Current Period,Current Period (Amount)
Lost Val Contrib %,Lost,Lost,Baseline /Incremental / Lost,Lost,Amount Metrics,Current Period,Current Period (Amount)
Lost Val Mkt,Lost,Lost,Baseline /Incremental / Lost,Lost,Amount Metrics,Current Period,Current Period (Amount)
Lost Val Mkt Contrib %,Lost,Lost,Baseline /Incremental / Lost,Lost,Amount Metrics,Current Period,Current Period (Amount)
Lost Val PI,Lost,Lost,Baseline /Incremental / Lost,Lost,Amount Metrics,Current Period,Current Period (Amount)
Lost Val Prod,Lost,Lost,Baseline /Incremental / Lost,Lost,Amount Metrics,Current Period,Current Period (Amount)
Lost Val Prod Contrib %,Lost,Lost,Baseline /Incremental / Lost,Lost,Amount Metrics,Current Period,Current Period (Amount)
Non Promo Val,Non,Non Promo,Promo / Non Promo,Non Promo,Amount Metrics,Current Period,Current Period (Amount)
Non Promo Val % Mkt Shr,Non,Non Promo,Promo / Non Promo,Non Promo,Amount Metrics,Current Period,Current Period (Amount)
Non Promo Val Comp,Non,Non Promo,Promo / Non Promo,Non Promo,Amount Metrics,Current Period,Current Period (Amount)
Non Promo Val Comp Contrib %,Non,Non Promo,Promo / Non Promo,Non Promo,Amount Metrics,Current Period,Current Period (Amount)
Non Promo Val Contrib %,Non,Non Promo,Promo / Non Promo,Non Promo,Amount Metrics,Current Period,Current Period (Amount)
Non Promo Val Mkt,Non,Non Promo,Promo / Non Promo,Non Promo,Amount Metrics,Current Period,Current Period (Amount)
Non Promo Val Mkt Contrib %,Non,Non Promo,Promo / Non Promo,Non Promo,Amount Metrics,Current Period,Current Period (Amount)
Non Promo Val PI,Non,Non Promo,Promo / Non Promo,Non Promo,Amount Metrics,Current Period,Current Period (Amount)
Non Promo Val Prod,Non,Non Promo,Promo / Non Promo,Non Promo,Amount Metrics,Current Period,Current Period (Amount)
Non Promo Val Prod Contrib %,Non,Non Promo,Promo / Non Promo,Non Promo,Amount Metrics,Current Period,Current Period (Amount)
Num Selling Dist,Num,Num,Distribution Metrics,Store # / Distribution,Amount Metrics,Current Period,Current Period (Amount)
Online Val,Online,Online,Brick & Mortar / Online,Online,Amount Metrics,Current Period,Current Period (Amount)
Online Val % Mkt Shr,Online,Online,Brick & Mortar / Online,Online,Amount Metrics,Current Period,Current Period (Amount)
Online Val Comp,Online,Online,Brick & Mortar / Online,Online,Amount Metrics,Current Period,Current Period (Amount)
Online Val Comp Contrib %,Online,Online,Brick & Mortar / Online,Online,Amount Metrics,Current Period,Current Period (Amount)
Online Val Contrib %,Online,Online,Brick & Mortar / Online,Online,Amount Metrics,Current Period,Current Period (Amount)
Online Val Mkt,Online,Online,Brick & Mortar / Online,Online,Amount Metrics,Current Period,Current Period (Amount)
Online Val Mkt Contrib %,Online,Online,Brick & Mortar / Online,Online,Amount Metrics,Current Period,Current Period (Amount)
Online Val PI,Online,Online,Brick & Mortar / Online,Online,Amount Metrics,Current Period,Current Period (Amount)
Online Val Prod,Online,Online,Brick & Mortar / Online,Online,Amount Metrics,Current Period,Current Period (Amount)
Online Val Prod Contrib %,Online,Online,Brick & Mortar / Online,Online,Amount Metrics,Current Period,Current Period (Amount)
Val,#VALUE!,Val,Base Metrics,Amount Metrics,Amount Metrics,Current Period,Current Period (Amount)
Val % Mkt Shr,Val,Val,Base Metrics,Amount Metrics,Amount Metrics,Current Period,Current Period (Amount)
Val % Mkt Shr +/- LY,Val,Val,Base Metrics,Amount Metrics,Amount Metrics,Current Period,Current Period (Amount)
Val +/- LY,Val,Val,Base Metrics,Amount Metrics,Amount Metrics,Current Period,Current Period (Amount)
Val Comp,Val,Val,Base Metrics,Amount Metrics,Amount Metrics,Current Period,Current Period (Amount)
Val Comp +/- LY,Val,Val,Base Metrics,Amount Metrics,Amount Metrics,Current Period,Current Period (Amount)
Val Comp Contrib %,Val,Val,Base Metrics,Amount Metrics,Amount Metrics,Current Period,Current Period (Amount)
Val Contrib %,Val,Val,Base Metrics,Amount Metrics,Amount Metrics,Current Period,Current Period (Amount)
Val EI vs LY,Val,Val,Base Metrics,Amount Metrics,Amount Metrics,Current Period,Current Period (Amount)
Val EI vs PP,Val,Val,Base Metrics,Amount Metrics,Amount Metrics,Current Period,Current Period (Amount)
Promo Val,Promo,Promo,Promo / Non Promo,Promo,Amount Metrics,Current Period,Current Period (Amount)
Promo Val % Mkt Shr,Promo,Promo,Promo / Non Promo,Promo,Amount Metrics,Current Period,Current Period (Amount)
Promo Val Comp,Promo,Promo,Promo / Non Promo,Promo,Amount Metrics,Current Period,Current Period (Amount)
Promo Val Comp Contrib %,Promo,Promo,Promo / Non Promo,Promo,Amount Metrics,Current Period,Current Period (Amount)
Promo Val Contrib %,Promo,Promo,Promo / Non Promo,Promo,Amount Metrics,Current Period,Current Period (Amount)
Promo Val Mkt,Promo,Promo,Promo / Non Promo,Promo,Amount Metrics,Current Period,Current Period (Amount)
Promo Val Mkt Contrib %,Promo,Promo,Promo / Non Promo,Promo,Amount Metrics,Current Period,Current Period (Amount)
Promo Val PI,Promo,Promo,Promo / Non Promo,Promo,Amount Metrics,Current Period,Current Period (Amount)
Promo Val Prod,Promo,Promo,Promo / Non Promo,Promo,Amount Metrics,Current Period,Current Period (Amount)
Promo Val Prod Contrib %,Promo,Promo,Promo / Non Promo,Promo,Amount Metrics,Current Period,Current Period (Amount)
Ret/Gr Val Ratio,Ret/Gr,Ret/Gr,Retail / Grocery,Retail,Amount Metrics,Current Period,Current Period (Amount)
Retail Val,Retail,Retail,Retail / Grocery,Retail,Amount Metrics,Current Period,Current Period (Amount)
Retail Val % Mkt Shr,Retail,Retail,Retail / Grocery,Retail,Amount Metrics,Current Period,Current Period (Amount)
Retail Val Comp,Retail,Retail,Retail / Grocery,Retail,Amount Metrics,Current Period,Current Period (Amount)
Retail Val Comp Contrib %,Retail,Retail,Retail / Grocery,Retail,Amount Metrics,Current Period,Current Period (Amount)
Retail Val Contrib %,Retail,Retail,Retail / Grocery,Retail,Amount Metrics,Current Period,Current Period (Amount)
Retail Val Mkt,Retail,Retail,Retail / Grocery,Retail,Amount Metrics,Current Period,Current Period (Amount)
Retail Val Mkt Contrib %,Retail,Retail,Retail / Grocery,Retail,Amount Metrics,Current Period,Current Period (Amount)
Retail Val PI,Retail,Retail,Retail / Grocery,Retail,Amount Metrics,Current Period,Current Period (Amount)
Retail Val Prod,Retail,Retail,Retail / Grocery,Retail,Amount Metrics,Current Period,Current Period (Amount)
Retail Val Prod Contrib %,Retail,Retail,Retail / Grocery,Retail,Amount Metrics,Current Period,Current Period (Amount)
ROS Val,ROS,ROS,Distribution Metrics,Distribution Value Metrics,Amount Metrics,Current Period,Current Period (Amount)
Scanout Val,Scanout,Scanout,Scanout / Sellin,Scanout,Amount Metrics,Current Period,Current Period (Amount)
Scanout Val % Mkt Shr,Scanout,Scanout,Scanout / Sellin,Scanout,Amount Metrics,Current Period,Current Period (Amount)
Scanout Val Comp,Scanout,Scanout,Scanout / Sellin,Scanout,Amount Metrics,Current Period,Current Period (Amount)
Scanout Val Comp Contrib %,Scanout,Scanout,Scanout / Sellin,Scanout,Amount Metrics,Current Period,Current Period (Amount)
Scanout Val Contrib %,Scanout,Scanout,Scanout / Sellin,Scanout,Amount Metrics,Current Period,Current Period (Amount)
Scanout Val Mkt,Scanout,Scanout,Scanout / Sellin,Scanout,Amount Metrics,Current Period,Current Period (Amount)
Scanout Val Mkt Contrib %,Scanout,Scanout,Scanout / Sellin,Scanout,Amount Metrics,Current Period,Current Period (Amount)
Scanout Val PI,Scanout,Scanout,Scanout / Sellin,Scanout,Amount Metrics,Current Period,Current Period (Amount)
Scanout Val Prod,Scanout,Scanout,Scanout / Sellin,Scanout,Amount Metrics,Current Period,Current Period (Amount)
Scanout Val Prod Contrib %,Scanout,Scanout,Scanout / Sellin,Scanout,Amount Metrics,Current Period,Current Period (Amount)
Sellin Val,Sellin,Sellin,Scanout / Sellin,Sellin,Amount Metrics,Current Period,Current Period (Amount)
Sellin Val % Mkt Shr,Sellin,Sellin,Scanout / Sellin,Sellin,Amount Metrics,Current Period,Current Period (Amount)
Sellin Val Comp,Sellin,Sellin,Scanout / Sellin,Sellin,Amount Metrics,Current Period,Current Period (Amount)
Sellin Val Comp Contrib %,Sellin,Sellin,Scanout / Sellin,Sellin,Amount Metrics,Current Period,Current Period (Amount)
Sellin Val Contrib %,Sellin,Sellin,Scanout / Sellin,Sellin,Amount Metrics,Current Period,Current Period (Amount)
Sellin Val Mkt,Sellin,Sellin,Scanout / Sellin,Sellin,Amount Metrics,Current Period,Current Period (Amount)
Sellin Val Mkt Contrib %,Sellin,Sellin,Scanout / Sellin,Sellin,Amount Metrics,Current Period,Current Period (Amount)
Sellin Val PI,Sellin,Sellin,Scanout / Sellin,Sellin,Amount Metrics,Current Period,Current Period (Amount)
Sellin Val Prod,Sellin,Sellin,Scanout / Sellin,Sellin,Amount Metrics,Current Period,Current Period (Amount)
Sellin Val Prod Contrib %,Sellin,Sellin,Scanout / Sellin,Sellin,Amount Metrics,Current Period,Current Period (Amount)
SO/SI Val Ratio,SO/SI,SO/SI,Scanout / Sellin,Scanout,Amount Metrics,Current Period,Current Period (Amount)
Store # Dist,Store,Store,Distribution Metrics,Store # / Distribution,Amount Metrics,Current Period,Current Period (Amount)
Store # Total,Store,Store,Distribution Metrics,Store # / Distribution,Amount Metrics,Current Period,Current Period (Amount)
Val Dist,Val,Val,Distribution Metrics,Distribution Value Metrics,Amount Metrics,Current Period,Current Period (Amount)
Val Dist Prod,Val,Val,Distribution Metrics,Distribution Value Metrics,Amount Metrics,Current Period,Current Period (Amount)
Wtd Selling Dist,Wtd,Wtd,Distribution Metrics,Store # / Distribution,Amount Metrics,Current Period,Current Period (Amount)
Wtd/Num Dist Index,Wtd/Num,Wtd/Num,Distribution Metrics,Store # / Distribution,Amount Metrics,Current Period,Current Period (Amount)
Pack #,Pack,Pack,Pack Ranging Metrics,Base Metrics,Base Metrics,Current Period,Current Period
Pack # % Mkt Shr,Pack,Pack,Pack Ranging Metrics,Base Metrics,Base Metrics,Current Period,Current Period
Pack # Contrib %,Pack,Pack,Pack Ranging Metrics,Base Metrics,Base Metrics,Current Period,Current Period
Pack # PI,Pack,Pack,Pack Ranging Metrics,Base Metrics,Base Metrics,Current Period,Current Period
Pack # Comp,Pack,Pack,Pack Ranging Metrics,Own Product / Market,Own Product / Market,Current Period,Current Period
Pack # Comp Contrib %,Pack,Pack,Pack Ranging Metrics,Own Product / Market,Own Product / Market,Current Period,Current Period
Pack # Mkt,Pack,Pack,Pack Ranging Metrics,Own Product / Market,Own Product / Market,Current Period,Current Period
Pack # Mkt Contrib %,Pack,Pack,Pack Ranging Metrics,Own Product / Market,Own Product / Market,Current Period,Current Period
Pack # Prod,Pack,Pack,Pack Ranging Metrics,Own Product / Market,Own Product / Market,Current Period,Current Period
Pack # Prod Contrib %,Pack,Pack,Pack Ranging Metrics,Own Product / Market,Own Product / Market,Current Period,Current Period
B&M Price,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Price Metrics,Current Period,Current Period (Price)
B&M Price Comp,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Price Metrics,Current Period,Current Period (Price)
B&M Price Mkt,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Price Metrics,Current Period,Current Period (Price)
B&M Price Prod,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Price Metrics,Current Period,Current Period (Price)
Baseline Price,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Price Metrics,Current Period,Current Period (Price)
Baseline Price Comp,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Price Metrics,Current Period,Current Period (Price)
Baseline Price Mkt,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Price Metrics,Current Period,Current Period (Price)
Baseline Price Prod,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Price Metrics,Current Period,Current Period (Price)
Domestic Price,Domestic,Domestic,Domestic / Export,Domestic,Price Metrics,Current Period,Current Period (Price)
Domestic Price Comp,Domestic,Domestic,Domestic / Export,Domestic,Price Metrics,Current Period,Current Period (Price)
Domestic Price Mkt,Domestic,Domestic,Domestic / Export,Domestic,Price Metrics,Current Period,Current Period (Price)
Domestic Price Prod,Domestic,Domestic,Domestic / Export,Domestic,Price Metrics,Current Period,Current Period (Price)
Export Price,Export,Export,Domestic / Export,Export,Price Metrics,Current Period,Current Period (Price)
Export Price Comp,Export,Export,Domestic / Export,Export,Price Metrics,Current Period,Current Period (Price)
Export Price Mkt,Export,Export,Domestic / Export,Export,Price Metrics,Current Period,Current Period (Price)
Export Price Prod,Export,Export,Domestic / Export,Export,Price Metrics,Current Period,Current Period (Price)
Grocery Price,Grocery,Grocery,Retail / Grocery,Grocery,Price Metrics,Current Period,Current Period (Price)
Grocery Price Comp,Grocery,Grocery,Retail / Grocery,Grocery,Price Metrics,Current Period,Current Period (Price)
Grocery Price Mkt,Grocery,Grocery,Retail / Grocery,Grocery,Price Metrics,Current Period,Current Period (Price)
Grocery Price Prod,Grocery,Grocery,Retail / Grocery,Grocery,Price Metrics,Current Period,Current Period (Price)
Incremental Price,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Price Metrics,Current Period,Current Period (Price)
Incremental Price Comp,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Price Metrics,Current Period,Current Period (Price)
Incremental Price Mkt,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Price Metrics,Current Period,Current Period (Price)
Incremental Price Prod,Incremental,Incremental,Baseline /Incremental / Lost,Incremental,Price Metrics,Current Period,Current Period (Price)
Lost Price,Lost,Lost,Baseline /Incremental / Lost,Lost,Price Metrics,Current Period,Current Period (Price)
Lost Price Comp,Lost,Lost,Baseline /Incremental / Lost,Lost,Price Metrics,Current Period,Current Period (Price)
Lost Price Mkt,Lost,Lost,Baseline /Incremental / Lost,Lost,Price Metrics,Current Period,Current Period (Price)
Lost Price Prod,Lost,Lost,Baseline /Incremental / Lost,Lost,Price Metrics,Current Period,Current Period (Price)
Non Promo Price,Non,Non Promo,Promo / Non Promo,Non Promo,Price Metrics,Current Period,Current Period (Price)
Non Promo Price Comp,Non,Non Promo,Promo / Non Promo,Non Promo,Price Metrics,Current Period,Current Period (Price)
Non Promo Price Mkt,Non,Non Promo,Promo / Non Promo,Non Promo,Price Metrics,Current Period,Current Period (Price)
Non Promo Price Prod,Non,Non Promo,Promo / Non Promo,Non Promo,Price Metrics,Current Period,Current Period (Price)
Online Price,Online,Online,Brick & Mortar / Online,Online,Price Metrics,Current Period,Current Period (Price)
Online Price Comp,Online,Online,Brick & Mortar / Online,Online,Price Metrics,Current Period,Current Period (Price)
Online Price Mkt,Online,Online,Brick & Mortar / Online,Online,Price Metrics,Current Period,Current Period (Price)
Online Price Prod,Online,Online,Brick & Mortar / Online,Online,Price Metrics,Current Period,Current Period (Price)
Price,#VALUE!,Price,Base Metrics,Price Metrics,Price Metrics,Current Period,Current Period (Price)
Price Comp,Price,Price,Base Metrics,Price Metrics,Price Metrics,Current Period,Current Period (Price)
Price Mkt,Price,Price,Base Metrics,Price Metrics,Price Metrics,Current Period,Current Period (Price)
Price Prod,Price,Price,Base Metrics,Price Metrics,Price Metrics,Current Period,Current Period (Price)
Promo Price,Promo,Promo,Promo / Non Promo,Promo,Price Metrics,Current Period,Current Period (Price)
Promo Price Comp,Promo,Promo,Promo / Non Promo,Promo,Price Metrics,Current Period,Current Period (Price)
Promo Price Mkt,Promo,Promo,Promo / Non Promo,Promo,Price Metrics,Current Period,Current Period (Price)
Promo Price Prod,Promo,Promo,Promo / Non Promo,Promo,Price Metrics,Current Period,Current Period (Price)
Retail Price,Retail,Retail,Retail / Grocery,Retail,Price Metrics,Current Period,Current Period (Price)
Retail Price Comp,Retail,Retail,Retail / Grocery,Retail,Price Metrics,Current Period,Current Period (Price)
Retail Price Mkt,Retail,Retail,Retail / Grocery,Retail,Price Metrics,Current Period,Current Period (Price)
Retail Price Prod,Retail,Retail,Retail / Grocery,Retail,Price Metrics,Current Period,Current Period (Price)
Scanout Price,Scanout,Scanout,Scanout / Sellin,Scanout,Price Metrics,Current Period,Current Period (Price)
Scanout Price Comp,Scanout,Scanout,Scanout / Sellin,Scanout,Price Metrics,Current Period,Current Period (Price)
Scanout Price Mkt,Scanout,Scanout,Scanout / Sellin,Scanout,Price Metrics,Current Period,Current Period (Price)
Scanout Price Prod,Scanout,Scanout,Scanout / Sellin,Scanout,Price Metrics,Current Period,Current Period (Price)
Sellin Price,Sellin,Sellin,Scanout / Sellin,Sellin,Price Metrics,Current Period,Current Period (Price)
Sellin Price Comp,Sellin,Sellin,Scanout / Sellin,Sellin,Price Metrics,Current Period,Current Period (Price)
Sellin Price Mkt,Sellin,Sellin,Scanout / Sellin,Sellin,Price Metrics,Current Period,Current Period (Price)
Sellin Price Prod,Sellin,Sellin,Scanout / Sellin,Sellin,Price Metrics,Current Period,Current Period (Price)
B&M Unit,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Unit Metrics,Current Period,Current Period (Unit)
B&M Unit % Mkt Shr,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Unit Metrics,Current Period,Current Period (Unit)
B&M Unit Comp,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Unit Metrics,Current Period,Current Period (Unit)
B&M Unit Comp Contrib %,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Unit Metrics,Current Period,Current Period (Unit)
B&M Unit Contrib %,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Unit Metrics,Current Period,Current Period (Unit)
B&M Unit Mkt,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Unit Metrics,Current Period,Current Period (Unit)
B&M Unit Mkt Contrib %,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Unit Metrics,Current Period,Current Period (Unit)
B&M Unit PI,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Unit Metrics,Current Period,Current Period (Unit)
B&M Unit Prod,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Unit Metrics,Current Period,Current Period (Unit)
B&M Unit Prod Contrib %,B&M,B&M,Brick & Mortar / Online,Brick & Mortar,Unit Metrics,Current Period,Current Period (Unit)
Baseline Unit,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Unit Metrics,Current Period,Current Period (Unit)
Baseline Unit % Mkt Shr,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Unit Metrics,Current Period,Current Period (Unit)
Baseline Unit Comp,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Unit Metrics,Current Period,Current Period (Unit)
Baseline Unit Comp Contrib %,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Unit Metrics,Current Period,Current Period (Unit)
Baseline Unit Contrib %,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Unit Metrics,Current Period,Current Period (Unit)
Baseline Unit Mkt,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Unit Metrics,Current Period,Current Period (Unit)
Baseline Unit Mkt Contrib %,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Unit Metrics,Current Period,Current Period (Unit)
Baseline Unit PI,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Unit Metrics,Current Period,Current Period (Unit)
Baseline Unit Prod,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Unit Metrics,Current Period,Current Period (Unit)
Baseline Unit Prod Contrib %,Baseline,Baseline,Baseline /Incremental / Lost,Baseline,Unit Metrics,Current Period,Current Period (Unit)
Domestic Unit,Domestic,Domestic,Domestic / Export,Domestic,Unit Metrics,Current Period,Current Period (Unit)
Domestic Unit % Mkt Shr,Domestic,Domestic,Domestic / Export,Domestic,Unit Metrics,Current Period,Current Period (Unit)
Domestic Unit Comp,Domestic,Domestic,Domestic / Export,Domestic,Unit Metrics,Current Period,Current Period (Unit)
Domestic Unit Comp Contrib %,Domestic,Domestic,Domestic / Export,Domestic,Unit Metrics,Current Period,Current Period (Unit)
Domestic Unit Contrib %,Domestic,Domestic,Domestic / Export,Domestic,Unit Metrics,Current Period,Current Period (Unit)
